Ribo_score,RNAcode_score,Conservation_score,pI,pL,pV,Feature
6960.84776,0,0.5,0.181818,0,0,1
9118.709339,0,0.3,0,0.136364,0.022727,1
6690.558217,0,0.2,0.103448,0.172414,0.068966,1
10795.13048,0,0.1,0.042553,0.06383,0.085106,1
110739.208,0,0.1,0.117647,0.088235,0.147059,1
1703.287994,40.67,0.4,0.039216,0.176471,0.117647,1
2952.992348,28.56,0.7,0.078947,0.131579,0.052632,1
10891.13902,42.9,0.7,0.1,0.14,0.14,1
24268.42588,26.05,0.6,0,0.093023,0.069767,1
38701.28597,23,0.3,0.032258,0.290323,0.096774,1
1887.344394,0,0.3,0.066667,0.066667,0.066667,1
2065.102288,0,0.2,0.085714,0.057143,0.085714,1
29756.46877,0,0.1,0.044444,0.066667,0.111111,1
1420.121336,0,0.1,0.090909,0.045455,0.045455,1
45974.80545,16.7,0.5,0.09375,0.09375,0.125,1
12924.35031,30.8,0.4,0.065217,0.043478,0.065217,1
40264.76581,29.02,0.3,0.0625,0.125,0.0625,1
5544.919026,0,0.1,0.023256,0.069767,0,1
19550.64015,0,0.2,0.178571,0.178571,0.035714,1
611.1954385,30.07,0.3,0.095238,0.119048,0.142857,1
149307.4857,26.29,0.3,0.1,0.2,0.133333,1
1827.168532,0,0.7,0.066667,0,0,1
26790.29067,23.48,0.3,0.055556,0.138889,0.083333,1
25672.79278,0,0.4,0.114286,0.142857,0.142857,1
1515.20205,30.51,0.3,0.181818,0.030303,0.121212,1
1005.120819,21.59,0.3,0.16,0.08,0.12,1
2437.069569,0,0.8,0.0625,0.083333,0.104167,1
1424.906418,43.95,0.4,0.0625,0.104167,0.1875,1
4195.450154,0,0.2,0.181818,0.136364,0.045455,1
8717.423933,0,0.4,0.034483,0.068966,0.034483,1
45974.80545,0,0.5,0,0,0.058824,1
3698.182614,0,0.4,0.2,0.15,0.15,1
916.4039662,21.32,0.3,0.157895,0.210526,0.157895,1
9016.6886,29.44,0.5,0.214286,0.178571,0.142857,1
881.6630256,10.13,0.6,0.125,0.041667,0.125,1
35179.4916,0,0.6,0.1,0.1,0.05,1
9515.632981,0,0.2,0.222222,0.222222,0.074074,1
33550.84454,0,0.3,0.0625,0,0,1
295383.9599,0,0.2,0.12766,0.042553,0.085106,1
15847.0528,0,0.1,0.111111,0.185185,0.037037,1
14924.1548,0,0.2,0.095238,0.190476,0.047619,1
32151.34506,0,0.2,0.2,0.25,0.1,1
3379.853998,0,0.2,0.15,0.25,0.15,1
3379.853998,0,0.3,0.1,0.3,0.15,1
2065.102288,23.41,1,0.076923,0.025641,0.128205,1
103603.5192,28.04,0.3,0.078431,0.196078,0.019608,1
11945.50763,0,0.3,0,0.090909,0.272727,1
5067.628804,0,0.3,0.133333,0.3,0.1,1
930.251789,0,0.8,0,0.06383,0.06383,1
802.5872155,0,0.2,0.16,0.04,0.08,1
2586.232702,0,0.8,0.151515,0.121212,0.181818,1
1147.659329,0,0.3,0,0,0,1
11945.50763,35.98,0.3,0.081081,0.108108,0.108108,1
489.2095983,0,0.2,0.071429,0.166667,0.047619,1
7263.842947,67.9,0.6,0.081633,0.061224,0.102041,1
6290.503691,0,0.3,0,0.166667,0,1
3665.582066,0,0.4,0.022222,0.111111,0.088889,1
34738.96708,0,0.1,0.142857,0.119048,0.071429,1
2485.809351,0,0.1,0,0.065217,0.043478,1
839.5323657,53.66,1,0.078947,0,0.157895,1
3461.947959,0,0.1,0,0.125,0.041667,1
1097.154491,63.54,1,0.102564,0.025641,0.102564,1
731.7469638,0,0.1,0.021277,0.148936,0.021277,1
7782.770908,0,0.1,0,0.066667,0.066667,1
6960.84776,0,0.5,0.181818,0,0,1
6690.558217,0,0.2,0.103448,0.172414,0.068966,1
7657.693375,0,0.2,0.064516,0.064516,0,1
32074.37854,17.32,0.3,0.105263,0.263158,0.026316,1
186.1316819,22.24,0.5,0.05,0.1,0.15,1
230.5149632,46.75,0.5,0.019608,0.078431,0.058824,1
25385.56383,0,0.6,0.075,0.025,0.1,1
2586.232702,0,0.8,0.151515,0.121212,0.181818,1
22430.42471,0,0.3,0,0.060606,0.272727,1
930.251789,0,0.8,0,0.06383,0.06383,1
767.2679039,0,0.2,0.12,0.04,0.12,1
26790.29067,14.71,0.6,0.071429,0.119048,0.02381,1
2065.102288,23.41,1,0.076923,0.025641,0.128205,1
36998.16542,0,0.1,0.041667,0.041667,0.104167,1
2065.102288,40.09,1,0.051282,0.025641,0.153846,1
2393.590454,48.08,0.8,0,0.06383,0.06383,1
2926.960867,0,0.4,0.043478,0.065217,0.086957,1
2065.102288,26.56,1,0.076923,0.025641,0.128205,1
930.251789,0,0.8,0,0.06383,0.06383,1
2160.164249,0,0.1,0.217391,0,0,1
3088.926167,37.76,0.6,0.076923,0.128205,0.051282,1
11392.48611,73.84,0.7,0.06,0.16,0.16,1
12355.59074,0,0.4,0.042553,0.106383,0.042553,1
2698.807504,0,0.1,0.114286,0.2,0.028571,1
8717.423933,55.23,0.7,0.075,0.1,0,1
6654.522981,0,0.1,0.03125,0.09375,0.28125,1
930.251789,11.42,0.8,0,0.06383,0.06383,1
3406.310717,0,0.1,0.045455,0.181818,0.090909,1
6960.84776,0,0.5,0.181818,0,0,1
14482.98539,0,0.1,0.103448,0.172414,0.068966,1
2160.164249,53.33,0.4,0.039216,0.156863,0.117647,1
7616.449166,38.69,0.8,0.078947,0.131579,0.026316,1
1066.640183,0,0.1,0.086957,0.108696,0.108696,1
10320.07111,30.51,0.5,0.0625,0.041667,0.0625,1
4010.821732,0,0.5,0,0.176471,0.088235,1
1057.08254,0,0.8,0.151515,0.121212,0.181818,1
930.251789,11.42,0.8,0,0.06383,0.06383,1
4232.763185,0,0.4,0.166667,0.233333,0.133333,1
2705.283633,0,0.2,0,0.090909,0.242424,1
42118.25636,54.61,0.3,0.098039,0.176471,0.058824,1
2065.102288,23.41,1,0.076923,0.025641,0.128205,1
9538.466942,0,0.1,0.137931,0,0,1
8764.630085,0,0.1,0.103448,0.137931,0.103448,1
29756.46877,90.31,0.3,0.042553,0.06383,0.085106,1
2557.297755,41.58,0.4,0.041667,0.041667,0.083333,1
2065.102288,23.41,1,0.076923,0.025641,0.128205,1
7967.053877,0,0.2,0,0.090909,0.272727,1
930.251789,11.42,0.8,0,0.06383,0.06383,1
4844.618573,78.63,0.6,0.081633,0.061224,0.102041,1
2798.154625,0,0.4,0,0.147059,0.088235,1
5544.919026,0,0.1,0.045455,0.090909,0.136364,1
2065.102288,52.35,1,0.076923,0.025641,0.128205,1
1458.990876,0,0.8,0,0.06383,0.06383,1
996.4731222,0,0.1,0.073171,0.02439,0.146341,1
3062.350161,0,0.2,0.021277,0.106383,0.12766,1
6944.184314,0,0.1,0.020408,0.040816,0.122449,1
3.844741673,60.12,0.8,0.046512,0.069767,0.093023,1
46.4397401,60.46,0.5,0.058824,0.058824,0.039216,1
34.29943034,62.13,0.9,0.071429,0.142857,0.071429,1
957.7800959,0,1,0,0.083333,0.166667,-1
908.5195572,0,0.9,0.088235,0.058824,0.147059,-1
695.1906771,0,0.8,0.075,0.025,0.025,-1
585.7007688,0,0.6,0,0.045455,0.090909,-1
477.8938725,0,0.5,0,0.157895,0.078947,-1
449.5209963,0,0.7,0.083333,0.041667,0.083333,-1
446.0295794,0,1,0.111111,0.055556,0.055556,-1
353.0896198,0,0.7,0,0.055556,0.111111,-1
349.9770327,0,1,0.095238,0,0.047619,-1
323.4710616,0,0.8,0.075,0.025,0.025,-1
295.6276298,0,0.9,0,0.076923,0.115385,-1
286.6143427,0,0.8,0,0.046512,0.023256,-1
260.5326053,0,0.4,0.05,0.1,0.05,-1
245.9485228,0,0.9,0,0.025641,0.025641,-1
225.6699768,0,0.8,0.075,0.025,0.025,-1
188.492016,0,0.6,0,0.058824,0.058824,-1
173.762168,0,0.8,0,0,0.045455,-1
164.6862501,0,1,0,0.157895,0.210526,-1
164.2569365,0,1,0.074074,0.074074,0.074074,-1
151.8167213,0,0.6,0,0.052632,0.078947,-1
134.3249375,0,0.7,0.03125,0.09375,0.09375,-1
129.8082486,0,0.9,0,0.179487,0.128205,-1
120.1824069,0,0.8,0,0.095238,0.238095,-1
119.8691085,0,1,0,0.09375,0.03125,-1
